USE_ID,CATCH_TYPE,USE_DESC
4323,PRIMARY,Peakhurst SPS
1613,PRIMARY,Connells Pt PS
2212,PRIMARY,Islington PS
3897,PRIMARY,Hamilton NPS
2542,PRIMARY,Middle Dural PS
3377,PRIMARY,Waratah PS
4217,PRIMARY,Banksia Rd PS
3971,PRIMARY,Beacon Hill PS
4274,PRIMARY,Hornsby Hts PS
2133,PRIMARY,Harbord PS
4148,PRIMARY,Castlereagh PS
4138,PRIMARY,Penrith SPS
4528,PRIMARY,Kings Langley PS
4142,PRIMARY,Bankstown WPS
2771,PRIMARY,Nulkaba PS
4494,PRIMARY,Hampden Park PS
2128,PRIMARY,Hammondville PS
4151,PRIMARY,Tower St PS
4122,PRIMARY,Miranda NPS
3225,PRIMARY,Tocumwal PS
1972,PRIMARY,Geurie PS
2234,PRIMARY,Jesmond PS
3073,PRIMARY,Smithfield PS
3020,PRIMARY,Rydalmere PS
2041,PRIMARY,Goonellabah PS
5247,INFANTS,New Lambton Hts IS
3293,PRIMARY,Tyalgum PS
4015,PRIMARY,Mowbray PS
3330,PRIMARY,Wagga Wagga PS
4164,PRIMARY,Truscott St PS
3924,PRIMARY,East Hls PS
8278,CENTRAL_PRIMARY,Wadalba CS
3157,PRIMARY,Tamworth PS
3175,PRIMARY,Tea Gardens PS
4279,PRIMARY,St Marys SPS
2884,PRIMARY,Pitt Town PS
2021,PRIMARY,Glossodia PS
4683,PRIMARY,Murrumbateman PS
4157,PRIMARY,Yates Ave PS
1860,PRIMARY,Ermington PS
4041,PRIMARY,Eastwood Hts PS
1615,PRIMARY,Cooerwull PS
3288,PRIMARY,Turramurra NPS
3635,PRIMARY,Scotts Head PS
4283,PRIMARY,West Pymble PS
3477,PRIMARY,Wollongong WPS
5236,PRIMARY,Granville EPS
4499,PRIMARY,Newbridge Hts PS
4386,PRIMARY,Killarney Hts PS
4488,PRIMARY,Kareela PS
4389,PRIMARY,Gymea NPS
3528,PRIMARY,Wyong Ck  PS
2312,PRIMARY,Kingswood PS
3334,PRIMARY,Waitara PS
4568,PRIMARY,Ellison PS
4622,PRIMARY,Claremont Meadows PS
2815,PRIMARY,Orchard Hls PS
4339,PRIMARY,Kingswood SPS
5132,PRIMARY,Russell Lea PS
1920,PRIMARY,Five Dock PS
4493,PRIMARY,Noumea PS
7423,PRIMARY,Leichhardt PS
4449,PRIMARY,Madang Ave PS
2859,PRIMARY,Penrith PS
3021,PRIMARY,Ryde PS
2624,PRIMARY,Mortdale PS
4581,PRIMARY,Frank Partridge VC PS
4060,PRIMARY,Cambridge Park PS
4589,PRIMARY,Shoal Bay PS
4051,PRIMARY,Penshurst WPS
4473,PRIMARY,Werrington PS
1124,PRIMARY,Bankstown NPS
1139,PRIMARY,Barooga PS
2667,PRIMARY,Mulwala PS
2580,PRIMARY,Mitchells Island PS
5112,INFANTS,Taverners Hill IS
2139,PRIMARY,Harrington PS
2571,PRIMARY,Minmi PS
2765,PRIMARY,Nth Star PS
2618,PRIMARY,Moree PS
4600,PRIMARY,Maryland PS
3222,PRIMARY,Tirranna PS
1682,PRIMARY,Cronulla PS
4000,PRIMARY,Guildford WPS
2164,PRIMARY,Hillside PS
1774,PRIMARY,Drummoyne PS
3384,PRIMARY,Warners Bay PS
3820,PRIMARY,Tarrawanna PS
2861,PRIMARY,Penshurst PS
2197,PRIMARY,Hurstville PS
2198,PRIMARY,Hurstville SPS
